Date_Posted,Year,Month,City,Country,Work_Type,Gender_Preference,Job_Title,Specialization,Job_Portal,Company,Company_Size,Company_Sector,Minimum_Experience (years),Maximum_Experience (years),Position_level,Qualifications,Minimum Salary,Maximum Salary,Avg_Salary
2025-01-07,2025,1,Singapore,Singapore,Full-Time,Male,Art Director,Art Curator,LinkedIn,WESCO International,500 or above,Industrial,1,14,Senior,B.Com,59000,93000,76000
2022-02-11,2022,2,Paris,France,Intern,Female,Operations Manager,Operations Director,Stack Overflow Jobs,Hikma Pharmaceuticals,500 or above,Pharmaceuticals,5,12,Senior,BA,62000,130000,96000
2025-05-05,2025,5,Beijing,China,Full-Time,Male,Event Coordinator,Event Planner,Jobs2Careers,Baxter International,500 or above,Healthcare,0,14,Senior,BA,56000,109000,82500
2024-04-09,2024,4,Ottawa,Canada,Contract,Female,Customer Success Manager,Account Manager,Jobs2Careers,Westlake,500 or above,Chemicals,4,14,Senior,M.Tech,57000,125000,91000
2022-03-08,2022,3,Madrid,Spain,Intern,Both,Procurement Manager,Supplier Diversity Manager,The Muse,Massachusetts Mutual Life Insurance,500 or above,Insurance,4,15,Senior,M.Tech,56000,125000,90500
2024-08-04,2024,8,Ottawa,Canada,Part-Time,Male,Software Engineer,DevOps Engineer,LinkedIn,Uber Technologies,500 or above,Technology,3,8,Senior,M.Tech,64000,103000,83500
2023-01-11,2023,1,Beijing,China,Temporary,Both,Marketing Director,Marketing Communications Director,CareerBuilder,Asbury Automotive Group,500 or above,Automotive,3,10,Senior,MBA,55000,126000,90500
2024-03-06,2024,3,Singapore,Singapore,Temporary,Female,Research Scientist,Research Analyst,ZipRecruiter,Mutual of Omaha Insurance,500 or above,Insurance,1,10,Senior,BCA,59000,108000,83500
2024-11-02,2024,11,Hanoi,Vietnam,Full-Time,Male,Sales Manager,Key Account Manager,Internships.com,GXO Logistics,500 or above,Transportation,5,12,Senior,M.Tech,60000,112000,86000
2022-08-05,2022,8,Beijing,China,Part-Time,Male,Interior Designer,Commercial Interior Designer,CareerBuilder,EQT,500 or above,Energy,0,10,Senior,M.Com,65000,83000,74000
2023-10-02,2023,10,Hanoi,Vietnam,Part-Time,Both,Software Tester,Quality Assurance Analyst,Idealist,Chesapeake Energy,500 or above,Energy,0,10,Senior,BBA,63000,96000,79500
2023-05-07,2023,5,Madrid,Spain,Contract,Male,Civil Engineer,Water Resources Engineer,FlexJobs,Qualcomm,500 or above,Technology,3,11,Senior,B.Com,55000,95000,75000
2023-07-06,2023,7,"Washington, D.C.",USA,Full-Time,Male,Research Analyst,Market Research Analyst,Monster,Qurate Retail,500 or above,Retail,1,9,Senior,MBA,59000,117000,88000
2023-03-01,2023,3,Hanoi,Vietnam,Part-Time,Female,Psychologist,Research Psychologist,Indeed,GlaxoSmithKline,500 or above,Pharmaceuticals,4,13,Senior,M.Com,60000,82000,71000
2022-03-10,2022,3,Paris,France,Full-Time,Both,Web Developer,Backend Web Developer,Internships.com,Cummins,500 or above,Industrial,5,9,Senior,B.Com,56000,113000,84500
2024-06-11,2024,6,Brussels,Belgium,Part-Time,Both,Account Director,Business Development Director,Glassdoor,Marriott International,500 or above,Hospitality,1,12,Senior,M.Com,61000,109000,85000
2024-01-03,2024,1,"Washington, D.C.",USA,Contract,Female,Content Writer,Content Strategist,FlexJobs,Legal & General Group,500 or above,Financial Services,4,8,Senior,BA,62000,111000,86500
2023-10-04,2023,10,City of Port Louis,Mauritius,Contract,Male,Paralegal,Real Estate Paralegal,Idealist,Hilton Worldwide Holdings,500 or above,Hospitality,0,15,Senior,BA,59000,115000,87000
2023-08-02,2023,8,Bangkok,Thailand,Intern,Male,UX/UI Designer,Interaction Designer,Internships.com,Barclays,500 or above,Financial Services,3,13,Senior,BCA,60000,129000,94500
2025-01-07,2025,1,City of Port Louis,Mauritius,Contract,Female,Systems Analyst,Business Systems Analyst,Stack Overflow Jobs,Northern Trust,500 or above,Financial Services,1,12,Senior,BCA,59000,119000,89000
2022-04-03,2022,4,Brussels,Belgium,Temporary,Both,Network Administrator,Systems Administrator,Snagajob,Linde plc,500 or above,Industrial Gases,4,14,Senior,B.Tech,59000,104000,81500
2023-05-07,2023,5,Brussels,Belgium,Intern,Both,Customer Service Manager,Customer Support Manager,Jobs2Careers,The Kraft Heinz Company,500 or above,Food and Beverage,1,10,Senior,BA,63000,86000,74500
2022-11-09,2022,11,Hanoi,Vietnam,Full-Time,Both,Social Media Coordinator,Content Creator,Stack Overflow Jobs,Grafton Group,500 or above,Building Materials,3,10,Senior,BCA,57000,117000,87000
2023-12-06,2023,12,Ottawa,Canada,Contract,Female,Operations Manager,Operations Director,CareerBuilder,Domino's Pizza Group,500 or above,Food and Beverage,4,8,Senior,B.Com,65000,99000,82000
2024-03-01,2024,3,Singapore,Singapore,Intern,Female,Event Coordinator,Event Planner,Idealist,Chevron,500 or above,Energy,3,13,Senior,B.Tech,55000,108000,81500
